date,code,open,high,low,close,volume,amount
2021-08-23,sh.601898,5.89600585,6.03057945,5.87918415,5.92964925,46879057,331624644.12
2021-08-24,sh.601898,6.0221686,6.1735639,5.98011435,6.1062771,46968711,339354572.97
2021-08-25,sh.601898,6.2072073,6.29972665,6.04740115,6.29972665,58938587,435139743.59
2021-08-26,sh.601898,6.3586026,6.6782149,6.33337005,6.55205215,85309495,661942419.42
2021-08-27,sh.601898,6.224029,6.41747855,6.14833135,6.3754243,65736669,493845809.15
2021-08-30,sh.601898,6.4427111,6.72868,6.38383515,6.70344745,71215950,555728517.95
2021-08-31,sh.601898,6.70344745,7.233331,6.56887385,7.17445505,106085769,875371331.17
2021-09-01,sh.601898,7.3174395,7.52771075,6.7455017,6.80437765,109004275,917652836.57
2021-09-02,sh.601898,6.8464319,7.19127675,6.78755595,7.03988145,106799581,887533879.74
2021-09-03,sh.601898,6.80437765,7.0819357,6.7118583,6.85484275,70820663,580210742.23
2021-09-06,sh.601898,7.05670315,7.29220695,6.9641838,7.10716825,72637112,613905027.07
2021-09-07,sh.601898,7.25856355,7.52771075,7.1660442,7.4688348,76265901,667684601.4
2021-09-08,sh.601898,7.3342612,7.9734858,7.29220695,7.71274945,112993029,1036400193.38
2021-09-09,sh.601898,7.72957115,8.3772066,7.52771075,8.1585245,129877865,1234134160.21
2021-09-10,sh.601898,7.906199,7.9398424,7.5529433,7.66228435,118037287,1084133684.48
2021-09-13,sh.601898,7.66228435,8.18375705,7.61181925,8.0071292,110770060,1038321289.39
2021-09-14,sh.601898,7.72957115,8.0071292,7.6034084,7.71274945,75772808,700974417.47
2021-09-15,sh.601898,7.8052688,8.09964855,7.69592775,7.89778815,78149905,733800960.93
2021-09-16,sh.601898,8.48654765,8.68840805,8.1248811,8.15011365,139200640,1397691582.62
2021-09-17,sh.601898,8.09964855,8.46972595,7.3342612,7.69592775,154111664,1449649936.95
2021-09-22,sh.601898,7.69592775,8.2258113,7.57817585,8.21740045,99577249,943165643.39
2021-09-23,sh.601898,8.41085,8.53701275,7.72957115,7.96507495,100962115,964123022.68
2021-09-24,sh.601898,7.8220905,7.91460985,7.52771075,7.5529433,70882216,646176497.19
2021-09-27,sh.601898,7.6538735,7.69592775,7.0987574,7.233331,66666159,579983260.14
2021-09-28,sh.601898,7.3510829,7.67910605,7.3174395,7.6034084,59208768,528417002.43
2021-09-29,sh.601898,7.6538735,7.906199,7.19127675,7.30902865,62670361,561740295.49
2021-09-30,sh.601898,7.3006178,7.5865867,7.1324008,7.5865867,53554403,470860748.51
2021-10-08,sh.601898,7.9230207,7.9230207,7.10716825,7.24174185,81717645,714379072.3
2021-10-11,sh.601898,7.3174395,7.52771075,7.19127675,7.5024782,68481976,602630426.82
2021-10-12,sh.601898,7.5529433,8.0239509,7.35949375,7.6538735,92341615,837913678.93
2021-10-13,sh.601898,7.7211603,7.7211603,6.88848615,6.88848615,100885190,841984634.84
2021-10-14,sh.601898,6.65298235,6.82119935,6.4595328,6.6782149,66892417,530125822.69
2021-10-15,sh.601898,6.68662575,6.88848615,6.55205215,6.8464319,65608777,525827372.58
2021-10-18,sh.601898,6.8632536,7.51088905,6.82119935,7.49406735,92844728,796771465.68
2021-10-19,sh.601898,7.401548,7.9903075,7.35949375,7.6202301,104361110,956757632.23
2021-10-20,sh.601898,6.85484275,7.14081165,6.85484275,6.85484275,126058261,1033999612.89
2021-10-21,sh.601898,6.72868,7.17445505,6.72868,6.97259465,113087295,939782465.8
2021-10-22,sh.601898,6.90530785,7.12398995,6.6277498,6.6445715,94231364,761770130.12
2021-10-25,sh.601898,6.7455017,6.8127885,6.53523045,6.7118583,46914882,374900868.19
2021-10-26,sh.601898,6.7118583,6.77073425,6.5772847,6.6445715,46963423,372326628.32
2021-10-27,sh.601898,6.4763545,6.53523045,6.28290495,6.33337005,53230391,403503536.57
2021-10-28,sh.601898,5.99693605,6.1567422,5.7361997,6.055812,84234661,597504537.96
2021-10-29,sh.601898,6.055812,6.09786625,5.86236245,5.8707733,47092025,331944312.92
2021-11-01,sh.601898,5.8539516,6.0894554,5.77825395,6.0221686,54869328,389397581.0
2021-11-02,sh.601898,6.0053469,6.1062771,5.55957185,5.77825395,66572956,456037220.39
2021-11-03,sh.601898,5.79507565,5.9548818,5.7361997,5.9212384,42824765,298778519.46
2021-11-04,sh.601898,5.87918415,5.887595,5.719378,5.7698431,34809150,238527001.19
2021-11-05,sh.601898,5.71096715,5.72778885,5.42499825,5.45864165,42746274,282216699.51
2021-11-08,sh.601898,5.5175176,5.5848044,5.4334091,5.50910675,34208445,224290784.86
2021-11-09,sh.601898,5.45864165,5.47546335,5.30724635,5.42499825,34559985,222148018.04
2021-11-10,sh.601898,5.34088975,5.37453315,5.1642619,5.29042465,39245269,244761961.59
2021-11-11,sh.601898,5.32406805,5.3661223,5.25678125,5.32406805,33528339,211597051.02
2021-11-12,sh.601898,5.2988355,5.37453315,5.18949445,5.1979053,31522831,196862730.61
2021-11-15,sh.601898,5.1642619,5.2315487,5.12220765,5.1979053,29119887,179407671.05
2021-11-16,sh.601898,5.1979053,5.20631615,5.0633317,5.08856425,22081089,134640653.89
2021-11-17,sh.601898,5.08856425,5.12220765,5.04651,5.0969751,28682852,173397063.73
2021-11-18,sh.601898,5.1306185,5.23995955,5.05492085,5.08856425,43684971,267263471.76
2021-11-19,sh.601898,5.0801534,5.1979053,5.04651,5.17267275,34344263,209505083.45
2021-11-22,sh.601898,5.1979053,5.29042465,5.1137968,5.1306185,39440189,241983531.53
2021-11-23,sh.601898,5.1474402,5.2483704,5.08856425,5.214727,36734582,227232706.92
2021-11-24,sh.601898,5.25678125,5.2988355,5.1810836,5.2820138,38766398,242091551.06
2021-11-25,sh.601898,5.29042465,5.3493006,5.1810836,5.18949445,34628810,215669393.88
2021-11-26,sh.601898,5.1306185,5.15585105,5.07174255,5.0969751,29850678,181174049.46
2021-11-29,sh.601898,5.03809915,5.0969751,4.97081235,5.0801534,24902503,149324950.95
2021-11-30,sh.601898,5.0969751,5.1810836,5.05492085,5.08856425,28132380,170888490.34
2021-12-01,sh.601898,5.08856425,5.1979053,5.0633317,5.18949445,32953278,201852668.08
2021-12-02,sh.601898,5.18949445,5.25678125,5.1474402,5.22313785,31691851,196512156.24
2021-12-03,sh.601898,5.22313785,5.66050205,5.1306185,5.49228505,83403980,539740618.45
2021-12-06,sh.601898,5.54275015,5.7025563,5.4502308,5.4670525,66964441,441983553.12
2021-12-07,sh.601898,5.57639355,5.59321525,5.45864165,5.57639355,42471416,279315569.85
2021-12-08,sh.601898,5.5679827,5.61003695,5.4670525,5.54275015,35529513,232942009.94
2021-12-09,sh.601898,5.54275015,5.5848044,5.4838742,5.54275015,28669998,188772261.04
2021-12-10,sh.601898,5.5175176,5.5848044,5.42499825,5.42499825,49885208,325601185.97
2021-12-13,sh.601898,5.52592845,5.5848044,5.4334091,5.4502308,47842607,312248089.32
2021-12-14,sh.601898,5.4502308,5.4838742,5.23995955,5.2651921,42292614,266807129.39
2021-12-15,sh.601898,5.29042465,5.3661223,5.23995955,5.2651921,49237243,310336876.31
2021-12-16,sh.601898,5.3997657,5.79507565,5.3997657,5.79507565,81896514,551085443.57
2021-12-17,sh.601898,6.11468795,6.2408507,5.9548818,5.96329265,188051505,1356608564.75
2021-12-20,sh.601898,5.9380601,5.9548818,5.66050205,5.6689129,85650879,586586019.29
2021-12-21,sh.601898,5.6184478,5.94647095,5.57639355,5.79507565,72064827,495111519.2
2021-12-22,sh.601898,5.81189735,6.01375775,5.71096715,5.9885252,76686286,538855171.25
2021-12-23,sh.601898,5.94647095,6.1735639,5.9380601,5.9717035,92025155,657270339.64
2021-12-24,sh.601898,5.9548818,5.96329265,5.6520912,5.6689129,67162160,459596189.88
2021-12-27,sh.601898,5.6520912,5.72778885,5.5006959,5.5679827,77192498,515091314.56
2021-12-28,sh.601898,5.55957185,5.57639355,5.30724635,5.382944,71545625,457933369.75
2021-12-29,sh.601898,5.37453315,5.4502308,5.34088975,5.35771145,39747771,254549887.84
2021-12-30,sh.601898,5.3324789,5.3661223,5.29042465,5.3493006,31828835,201869283.92
2021-12-31,sh.601898,5.3324789,5.35771145,5.27360295,5.29042465,35489799,223930709.7
2022-01-04,sh.601898,5.49228505,5.57639355,5.382944,5.40817655,91849949,594932226.43
2022-01-05,sh.601898,5.382944,5.42499825,5.30724635,5.3493006,49120073,313194056.62
2022-01-06,sh.601898,5.35771145,5.39135485,5.3156572,5.3493006,32704597,208241042.14
2022-01-07,sh.601898,5.3324789,5.4838742,5.3156572,5.4165874,53367861,343592633.18
2022-01-10,sh.601898,5.44181995,5.6016261,5.4165874,5.59321525,60695883,396935630.15
2022-01-11,sh.601898,5.52592845,5.59321525,5.4670525,5.52592845,39173852,257151795.32
2022-01-12,sh.601898,5.54275015,5.55957185,5.40817655,5.49228505,41573658,270220680.02
2022-01-13,sh.601898,5.5006959,5.71096715,5.49228505,5.59321525,85400379,571454961.57
2022-01-14,sh.601898,5.57639355,5.57639355,5.3493006,5.35771145,56022634,360801610.84
2022-01-17,sh.601898,5.214727,5.2820138,5.1642619,5.2820138,60321659,374427159.39
2022-01-18,sh.601898,5.2483704,5.40817655,5.20631615,5.3493006,54849197,345417969.61
2022-01-19,sh.601898,5.3997657,5.59321525,5.37453315,5.4670525,78688597,513443942.19
